file name,transcript,duration,match quality,hypothesis,CER,search type,ASRs
40-87.wav,این اختلال، در زمره اختلالات خواب به شمار نمی‌رود؛ ,4.595986394557823,HIGH,این اختلال در نمره اختلالات خواب به شمار نمیرود,0.0416666666666666,1,['Wav2Vec']
549-26.wav,استفاده ابزاری مخاطب اصلی و واقعی بعضی ضرب‌المثل‌ها نابینایان نیستند، ,6.477981859410431,HIGH,استفاده ابزاری مخاطب اصلی و واقعی بعضی ضرب ال مسل‌ها نابینایان نیستند,0.0294117647058823,1,['Wav2Vec']
74-83.wav,اول این‌که رابطه هر مادر و کودکی، ,4.163990929705215,HIGH,اول اینکه رابطه هر مادر و کودکی,0.03125,1,['Wav2Vec']
475-119.wav,بااین‌حال، هر دوی ما هر کاری که قادر باشیم، برای خانواده‌هایمان انجام می‌دهیم. با اینکه آن‌ها ,6.608979591836735,HIGH,با این حال هر دوی ما هر کاری که قادر باشیم برای خانواده‌هایمان انجام میدهیم با اینکه آها,0.0444444444444444,1,['Wav2Vec']
77-49.wav,از صحبت‌های شما به این نتیجه می‌رسیم که وجود الگوهای عملی برای شما بسیار تأثیرگذار بوده است؛ ,7.163990929705215,HIGH,از صحبت‌های شما به این نتیجه میرسیم که وجود الگو‌های عملی برای شما بسیار تاثیرگذار بوده است,0.0329670329670329,1,['Wav2Vec']
564-56.wav,اگر یکی از دانشجوها فکر می‌کرد در یک آزمون ,3.731995464852608,HIGH,اگر یکی از دانشجو‌ها فکر می کرد در یک آزمون,0.0238095238095238,1,['Wav2Vec']
37-72.wav,در امور خود به استقلال دست یابند. او هر سال کتاب‌های بریل را تهیه می‌کند ,5.553990929705216,HIGH,در امور خود به استقلال دست یابند او در سال کتاب‌های برل را تهیه میکند,0.0422535211267605,1,['Wav2Vec']
217-142.wav,از خدمات آیرا استفاده می‌کنم. ,2.43,HIGH,از خدمات آیرا استفاده می کنم,0.0,1,['Wav2Vec']
9-50.wav,خوراک یکی از زامبی‌ها می‌شود تا بازی به پایان برسد، ,3.855986394557823,HIGH,خوراکه یکی از زمبی‌ها می شود تا بازی به پایان برسد,0.04,1,['Wav2Vec']
169-9.wav,که برای درک اطلاعات و ارتباط با دیگران به آن متکی‌اند، مهارت ارزشمندی است. ,6.536984126984127,HIGH,که برای درک اطلاعات و ارتباط با دیگران به آن متکیند مهارت ارزشمندی است,0.0277777777777777,1,['Wav2Vec']
